Stock ticker,Date,Open,High,Low,Close,Adj Close,Volume
IMPP,12/6/2021,0.4,8.3,0.4,7.5,7.5,239900
IMPP,12/7/2021,6.1,7.18,4.22,4.74,4.74,312500
IMPP,12/8/2021,4.5,4.58,3.13,3.22,3.22,293900
IMPP,12/9/2021,3.21,3.229,2.601,2.71,2.71,165600
IMPP,12/10/2021,2.75,2.98,2.5,2.68,2.68,107900
IMPP,12/13/2021,2.65,2.659,2.32,2.56,2.56,44700
IMPP,12/14/2021,2.42,2.5,2.16,2.31,2.31,75000
IMPP,12/15/2021,2.26,2.28,1.913,2.08,2.08,79400
IMPP,12/16/2021,2.05,2.25,2.05,2.15,2.15,41000
IMPP,12/17/2021,2.15,2.4,2.15,2.266,2.266,30100
IMPP,12/20/2021,2.23,2.25,2.11,2.21,2.21,8900
IMPP,12/21/2021,2.273,2.276,2.045,2.12,2.12,37300
IMPP,12/22/2021,2.04,2.16,2.04,2.089,2.089,16400
IMPP,12/23/2021,2.05,2.17,2.05,2.11,2.11,13700
IMPP,12/27/2021,2.22,2.22,2,2.02,2.02,11800
IMPP,12/28/2021,2.26,2.26,2.06,2.12,2.12,10700
IMPP,12/29/2021,2.19,2.19,2.03,2.06,2.06,8400
IMPP,12/30/2021,2.017,2.133,2.017,2.05,2.05,8800
IMPP,12/31/2021,2.07,2.27,1.91,2.14,2.14,32700
IMPP,1/3/2022,2.05,2.88,2.014,2.6,2.6,568700
IMPP,1/4/2022,2.5,2.732,2.292,2.3,2.3,88400
IMPP,1/5/2022,2.57,2.57,2.02,2.07,2.07,45100
IMPP,1/6/2022,2.15,2.3,2.05,2.16,2.16,17200
IMPP,1/7/2022,2.275,2.3,2.07,2.12,2.12,11800
IMPP,1/10/2022,2.26,2.26,1.92,2.02,2.02,37400
IMPP,1/11/2022,2.15,2.181,1.93,2.129,2.129,31600
IMPP,1/12/2022,2.037,2.25,1.97,2,2,32500
IMPP,1/13/2022,1.98,2.05,1.96,2.04,2.04,10400
IMPP,1/14/2022,2.01,2.01,1.9,1.94,1.94,19000
IMPP,1/18/2022,1.94,2.09,1.9,2.09,2.09,12300
IMPP,1/19/2022,2.03,2.03,1.81,1.9,1.9,8200
IMPP,1/20/2022,1.908,1.95,1.85,1.85,1.85,11100
IMPP,1/21/2022,1.56,1.7,1.4,1.5,1.5,85300
IMPP,1/24/2022,1.416,1.5,1.35,1.38,1.38,82700
IMPP,1/25/2022,1.38,1.425,1.36,1.36,1.36,23300
IMPP,1/26/2022,1.36,1.4,1.3,1.3,1.3,23900
IMPP,1/27/2022,1.46,2.36,1.07,1.16,1.16,7493300
IMPP,1/28/2022,2.23,3.45,2.13,2.18,2.18,105188300
IMPP,1/31/2022,1.05,1.08,0.953,0.98,0.98,29865800
IMPP,2/1/2022,0.975,0.975,0.9,0.935,0.935,6182000
IMPP,2/2/2022,0.945,0.945,0.83,0.85,0.85,3571400
IMPP,2/3/2022,0.797,0.83,0.752,0.78,0.78,3117000
IMPP,2/4/2022,0.79,0.85,0.733,0.76,0.76,3788000
IMPP,2/7/2022,0.759,0.8,0.702,0.725,0.725,2279800
IMPP,2/8/2022,0.71,0.71,0.65,0.661,0.661,2040100
IMPP,2/9/2022,0.631,0.695,0.62,0.66,0.66,2181200
IMPP,2/10/2022,0.67,0.67,0.632,0.64,0.64,1252400
IMPP,2/11/2022,0.64,0.655,0.591,0.62,0.62,1735900
IMPP,2/14/2022,0.634,0.634,0.581,0.608,0.608,1070200
IMPP,2/15/2022,0.608,0.631,0.586,0.604,0.604,741400
IMPP,2/16/2022,0.6,0.615,0.55,0.575,0.575,990700
IMPP,2/17/2022,0.568,0.6,0.519,0.525,0.525,1089400
IMPP,2/18/2022,0.53,0.53,0.481,0.491,0.491,1113000
IMPP,2/22/2022,0.686,0.857,0.631,0.8,0.8,114094000
IMPP,2/23/2022,1.03,1.29,0.98,1.13,1.13,162989300
IMPP,2/24/2022,1.68,1.75,1.26,1.57,1.57,103833800
IMPP,2/25/2022,1.47,2.24,1.38,2.1,2.1,132790200
IMPP,2/28/2022,2.34,2.82,2.15,2.37,2.37,107087400
IMPP,3/1/2022,2.23,2.25,1.45,1.48,1.48,42350600
IMPP,3/2/2022,1.81,2.17,1.8,2.06,2.06,90233900
IMPP,3/3/2022,2.41,2.6,1.96,2.2,2.2,114142600
IMPP,3/4/2022,2.2,3.44,2.14,3.38,3.38,144975900
IMPP,3/7/2022,4.68,8.4,4.35,7.5,7.5,222671100
IMPP,3/8/2022,9.13,9.7,3.71,4.25,4.25,103864400
IMPP,3/9/2022,4.51,5.93,4.32,5.06,5.06,87670800
IMPP,3/10/2022,5.75,6.19,4.73,4.99,4.99,52852400
IMPP,3/11/2022,4.39,4.43,3.55,3.61,3.61,22049600
IMPP,3/14/2022,3.19,4.09,3.01,3.44,3.44,24046400
IMPP,3/15/2022,3.2,3.4,2.61,2.73,2.73,20703700
IMPP,3/16/2022,2.78,3.1,2.01,2.04,2.04,33616600
IMPP,3/17/2022,2.43,2.8,2.25,2.325,2.325,69916200
IMPP,3/18/2022,2.73,2.83,2.25,2.37,2.37,40138400
IMPP,3/21/2022,1.45,1.56,1.44,1.5,1.5,96976800
IMPP,3/22/2022,1.58,1.61,1.44,1.53,1.53,40566700
IMPP,3/23/2022,1.56,2.11,1.5,2.1,2.1,116528800
IMPP,3/24/2022,1.99,2.29,1.78,1.79,1.79,97865500
IMPP,3/25/2022,1.67,1.91,1.58,1.72,1.72,65290700
IMPP,3/28/2022,1.59,1.68,1.51,1.68,1.68,33270500
IMPP,3/29/2022,1.51,1.58,1.44,1.54,1.54,29929800
IMPP,3/30/2022,1.71,1.8,1.56,1.6,1.6,52038400
